index    U_ins  U_ierr   U_std  U_serr   B_ins  B_ierr   B_std  B_serr   V_ins  V_ierr   V_std  V_serr   I_ins  I_ierr   I_std  I_serr
    87 16.8899  0.0687 99.9999 99.9999 15.2465  0.0209 17.5312  0.0580 12.2841  0.0040 15.3374  0.0075 10.7977  0.0019 12.0270  0.0021
    89 14.0464  0.0080 17.5941  0.0658 13.1455  0.0046 15.5460  0.0097 10.7865  0.0015 13.8296  0.0026 10.8271  0.0022 12.0587  0.0022
    92  9.9649  0.0025 13.2741  0.0021 10.4032  0.0017 12.9955  0.0015  9.5730  0.0014 12.6068  0.0013 10.8425  0.0027 12.0819  0.0022
    94 14.6692  0.0114 18.6722  0.1858 13.5558  0.0062 16.0097  0.0146 11.0636  0.0017 14.1249  0.0032 10.8566  0.0019 12.1016  0.0023
    95 16.8285  0.0670 99.9999 99.9999 15.3887  0.0176 17.5607  0.0583 12.5127  0.0037 15.5216  0.0085 10.8633  0.0021 12.0792  0.0022
    96  9.3955  0.0025 12.6979  0.0015 10.0381  0.0007 12.6435  0.0012  9.3912  0.0021 12.4164  0.0013 10.8641  0.0027 12.0906  0.0025
    97 14.2231  0.0086 17.7712  0.0755 13.2915  0.0049 15.6912  0.0107 10.8933  0.0018 13.9475  0.0028 10.8693  0.0022 12.1118  0.0022
    98 16.2380  0.0341 99.9999 99.9999 14.8008  0.0126 17.1858  0.0405 12.0113  0.0032 15.1063  0.0061 10.8747  0.0023 12.1271  0.0022
    99 13.0289  0.0044 16.5173  0.0264 12.6770  0.0038 15.1225  0.0066 10.6530  0.0014 13.7093  0.0024 10.8748  0.0018 12.1277  0.0022
   100 14.9169  0.0142 18.5016  0.1551 13.8760  0.0066 16.1771  0.0164 11.2213  0.0024 14.2764  0.0035 10.8780  0.0019 12.1029  0.0022
   101 14.6753  0.0101 18.1924  0.1162 13.5110  0.0056 15.9253  0.0133 11.0372  0.0023 14.0901  0.0031 10.8781  0.0019 12.1238  0.0023
   102 16.5113  0.0459 99.9999 99.9999 15.3417  0.0210 17.5715  0.0574 12.4723  0.0039 15.6110  0.0092 10.9023  0.0020 12.1779  0.0023
   107 10.2251  0.0011 13.5544  0.0026 10.7073  0.0019 13.2842  0.0018  9.8944  0.0022 12.7993  0.0015 10.9270  0.0032 12.1849  0.0024
   108 10.4586  0.0015 13.7633  0.0029 11.0102  0.0016 13.5649  0.0021  9.9349  0.0012 12.9740  0.0016 10.9387  0.0021 12.1836  0.0023
   109 16.5865  0.0493 99.9999 99.9999 15.1766  0.0180 17.4220  0.0520 12.1841  0.0032 15.2193  0.0070 10.9388  0.0025 12.1660  0.0023
   111 13.0092  0.0041 16.3564  0.0227 12.6292  0.0041 15.0819  0.0064 10.6072  0.0015 13.6629  0.0024 10.9492  0.0020 12.2005  0.0023
   112 14.3712  0.0109 17.6743  0.0749 13.4647  0.0062 15.8241  0.0125 11.0356  0.0024 14.0821  0.0031 10.9496  0.0034 12.1773  0.0024
   113 15.7302  0.0260 99.9999 99.9999 14.4097  0.0107 16.8087  0.0293 11.6062  0.0024 14.6897  0.0047 10.9547  0.0022 12.2057  0.0023
   114 14.2578  0.0077 17.8720  0.0856 13.3525  0.0058 15.7333  0.0111 10.9765  0.0030 14.0296  0.0030 10.9750  0.0031 12.2186  0.0023
   115 13.2263  0.0050 16.6338  0.0297 12.7176  0.0034 15.1386  0.0067 10.6637  0.0015 13.7109  0.0024 10.9847  0.0020 12.2269  0.0023
   117 10.0730  0.0010 13.3586  0.0023 10.7705  0.0014 13.3520  0.0018  9.8330  0.0013 12.8709  0.0015 10.9958  0.0020 12.2409  0.0024
   118 10.3033  0.0017 13.6117  0.0028 10.7052  0.0021 13.2866  0.0018  9.8042  0.0015 12.8371  0.0015 11.0094  0.0027 12.2456  0.0024
   123 16.1387  0.0420 99.9999 99.9999 14.7329  0.0148 16.9543  0.0333 11.8831  0.0036 14.9648  0.0057 11.0296  0.0023 12.2782  0.0024
   125 12.7989  0.0038 16.2646  0.0217 12.6109  0.0037 15.0577  0.0064 10.6909  0.0016 13.7514  0.0025 11.0449  0.0024 12.2874  0.0025
   131 15.8965  0.0340 99.9999 99.9999 14.4126  0.0105 16.6268  0.0250 11.6633  0.0031 14.7288  0.0050 11.0983  0.0022 12.3509  0.0026
   132 16.1297  0.0359 18.8249  0.2088 14.5723  0.0118 16.8927  0.0311 11.7189  0.0025 14.7788  0.0048 11.1059  0.0022 12.3537  0.0025
   134 16.0975  0.0342 99.9999 99.9999 14.6976  0.0122 17.0499  0.0376 11.7548  0.0024 14.8094  0.0050 11.1454  0.0025 12.3900  0.0026
   138 10.2091  0.0011 13.5469  0.0026 10.8733  0.0016 13.4726  0.0020  9.9325  0.0020 13.0486  0.0017 11.1583  0.0079 12.3725  0.0026
   147 14.7866  0.0147 18.0975  0.1134 13.8119  0.0069 16.1382  0.0163 11.3434  0.0024 14.3948  0.0037 11.2081  0.0022 12.4481  0.0027
   150 13.8990  0.0067 17.1319  0.0476 13.1751  0.0045 15.5709  0.0096 11.0274  0.0017 14.0816  0.0032 11.2160  0.0027 12.4602  0.0027
   155 15.9523  0.0343 99.9999 99.9999 14.5845  0.0130 17.0137  0.0361 11.7373  0.0025 14.8581  0.0052 11.2228  0.0025 12.4790  0.0027
   159  9.9444  0.0019 13.2503  0.0021 10.5511  0.0031 13.1603  0.0016  9.8385  0.0024 12.8711  0.0015 11.2473  0.0044 12.5037  0.0028
   163 16.3531  0.0455 99.9999 99.9999 14.9317  0.0140 17.3008  0.0443 12.2170  0.0033 15.3965  0.0078 11.2566  0.0024 12.5370  0.0029
   166 13.6364  0.0064 17.1850  0.0478 13.1143  0.0047 15.5587  0.0093 11.0200  0.0017 14.0746  0.0030 11.2800  0.0023 12.5183  0.0028
   167 15.5682  0.0244 99.9999 99.9999 14.3141  0.0086 16.6967  0.0266 11.6717  0.0023 14.7149  0.0046 11.2819  0.0027 12.5201  0.0028
   168 14.9119  0.0132 18.3668  0.1372 14.1159  0.0091 16.5213  0.0228 11.5514  0.0024 14.6123  0.0044 11.2859  0.0026 12.5388  0.0029
   170 12.7142  0.0036 16.0720  0.0182 12.7646  0.0036 15.2391  0.0071 10.9399  0.0017 13.9908  0.0029 11.2908  0.0020 12.5504  0.0029
   173 12.1197  0.0030 15.4662  0.0109 12.2062  0.0029 14.6895  0.0047 10.6086  0.0017 13.6543  0.0024 11.2990  0.0043 12.5282  0.0028
   176 14.7080  0.0121 18.7218  0.1946 13.9251  0.0070 16.2910  0.0185 11.4849  0.0026 14.5422  0.0044 11.3068  0.0025 12.5433  0.0029
   178 14.1174  0.0080 17.5871  0.0675 13.4011  0.0057 15.7824  0.0115 11.1731  0.0023 14.2298  0.0034 11.3093  0.0030 12.5534  0.0029
   179  9.9618  0.0012 13.2789  0.0021 10.5230  0.0019 13.1329  0.0016  9.8762  0.0029 12.8966  0.0015 11.3094  0.0025 12.5525  0.0028
   185 15.9613  0.0345 99.9999 99.9999 14.6839  0.0136 17.0003  0.0343 11.9207  0.0026 14.9770  0.0057 11.3354  0.0026 12.5805  0.0029
   186 13.1661  0.0053 16.5703  0.0278 13.0169  0.0082 15.4511  0.0085 11.0241  0.0031 14.0796  0.0031 11.3401  0.0029 12.5875  0.0029
   192 13.6394  0.0076 16.8878  0.0413 13.2130  0.0048 15.6264  0.0118 11.1297  0.0021 14.1800  0.0037 11.3704  0.0021 12.6149  0.0032
   201 13.7646  0.0072 17.2239  0.0551 13.2793  0.0050 15.7008  0.0113 11.1886  0.0026 14.2173  0.0036 11.4140  0.0027 12.6441  0.0031
   202 13.8985  0.0076 17.3132  0.0527 13.3212  0.0052 15.7517  0.0112 11.1834  0.0023 14.2388  0.0034 11.4150  0.0028 12.6615  0.0031
